Date,Close
5/9/2018,164.24
5/10/2018,165.07
5/11/2018,165.39
5/14/2018,164.72
5/15/2018,163.06
5/16/2018,162.87
5/17/2018,161.31
5/18/2018,160.98
5/21/2018,161.48
5/22/2018,159.45
5/23/2018,161.62
5/24/2018,162.39
5/25/2018,163.21
5/29/2018,160.62
5/30/2018,161.82
5/31/2018,160.01
6/1/2018,159.16
6/4/2018,160.22
6/5/2018,159.48
6/6/2018,162.38
6/7/2018,169.48
6/8/2018,168.91
6/11/2018,166.49
6/12/2018,166.73
6/13/2018,166.58
6/14/2018,167.05
6/15/2018,166.46
6/18/2018,166.28
6/19/2018,164.97
6/20/2018,164.97
6/21/2018,160.53
6/22/2018,164.55
6/25/2018,159.81
6/26/2018,160.91
6/27/2018,157.42
6/28/2018,156.32
6/29/2018,156.69
7/2/2018,156.87
7/3/2018,156.48
7/5/2018,157.32
7/6/2018,159.42
7/9/2018,159.94
7/10/2018,160.62
7/11/2018,158.62
7/12/2018,159.12
7/13/2018,158.51
7/16/2018,158.78
7/17/2018,159.75
7/18/2018,157.93
7/19/2018,157.41
7/20/2018,157.97
7/23/2018,158.75
7/24/2018,157.94
7/25/2018,158.89
7/26/2018,156.14
7/27/2018,157.48
7/30/2018,158.64
7/31/2018,157.54
8/1/2018,156.92
8/2/2018,155.41
8/3/2018,156.21
8/6/2018,156.72
8/7/2018,156.04
8/8/2018,158.92
8/9/2018,159.3
8/10/2018,158.68
8/13/2018,158.14
8/14/2018,160.6
8/15/2018,159.88
8/16/2018,161.73
8/17/2018,161.15
8/20/2018,161.68
8/21/2018,161.04
8/22/2018,160.55
8/23/2018,159.05
8/24/2018,159.38
8/27/2018,160.48
8/28/2018,161.64
8/29/2018,163.11
8/30/2018,162.8
8/31/2018,162.23
9/4/2018,161.72
9/5/2018,163.24
9/6/2018,163.74
9/7/2018,163.9
9/10/2018,165.07
9/11/2018,164.62
9/12/2018,164.74
9/13/2018,162.4
9/14/2018,160.84
9/17/2018,158.14
9/18/2018,157.77
9/19/2018,159.18
9/20/2018,160.79
9/21/2018,165.3
9/24/2018,163.31
9/25/2018,166.41
9/26/2018,165.76
9/27/2018,166.53
9/28/2018,167.29
10/1/2018,166.67
10/2/2018,165.18
10/3/2018,164.66
10/4/2018,165.8
10/5/2018,166.57
10/8/2018,167.77
10/9/2018,169.83
10/10/2018,168.37
10/11/2018,162.97
10/12/2018,163.82
10/15/2018,163.67
10/16/2018,164.07
10/17/2018,166.77
10/18/2018,166.81
10/19/2018,167.49
10/22/2018,166.63
10/23/2018,177.15
10/24/2018,177.35
10/25/2018,175.31
10/26/2018,173.34
10/29/2018,173.23
10/30/2018,178.49
10/31/2018,176.9
11/1/2018,174.88
11/2/2018,176.75
11/5/2018,180.39
11/6/2018,182.71
11/7/2018,184.25
11/8/2018,185.48
11/9/2018,185.94
11/12/2018,184.37
11/13/2018,184.01
11/14/2018,183.85
11/15/2018,183.56
11/16/2018,187.59
11/19/2018,186.72
11/20/2018,183.71
11/21/2018,182.72
11/23/2018,181.93
11/26/2018,183.89
11/27/2018,184.63
11/28/2018,187.85
11/29/2018,189.26
11/30/2018,188.51
12/3/2018,185.37
12/4/2018,185.04
12/6/2018,185.45
12/7/2018,182.96
12/10/2018,184.65
12/11/2018,183.59
12/12/2018,183.48
12/13/2018,186.43
12/14/2018,183.29
12/17/2018,180.79
12/18/2018,179.71
12/19/2018,179.16
12/20/2018,173.68
12/21/2018,174.15
12/24/2018,170.28
12/26/2018,174.03
12/27/2018,175.71
12/28/2018,175.56
12/31/2018,177.57
1/2/2019,176.06
1/3/2019,174.9
1/4/2019,178.28
1/7/2019,180.22
1/8/2019,180.6
1/9/2019,180.29
1/10/2019,181.55
1/11/2019,182.37
1/14/2019,181.22
1/15/2019,181.02
1/16/2019,179.35
1/17/2019,181.11
1/18/2019,182.57
1/22/2019,184.57
1/23/2019,186.09
1/24/2019,187.37
1/25/2019,184
1/28/2019,183.6
1/29/2019,182.17
1/30/2019,181.77
1/31/2019,178.78
2/1/2019,176.72
2/4/2019,177.55
2/5/2019,177.57
2/6/2019,176.18
2/7/2019,175.28
2/8/2019,174.75
2/11/2019,174.26
2/12/2019,173.97
2/13/2019,174.15
2/14/2019,175.87
2/15/2019,179.97
2/19/2019,179.25
2/20/2019,180.49
2/21/2019,182.81
2/22/2019,183.17
2/25/2019,182.61
2/26/2019,183.21
2/27/2019,183.36
2/28/2019,183.84
3/1/2019,185.05
3/4/2019,180.59
3/5/2019,181.35
3/6/2019,182.03
3/7/2019,180.52
3/8/2019,179.5
3/11/2019,181.08
3/12/2019,181.83
3/13/2019,182.06
3/14/2019,182.74
3/15/2019,185.33
3/18/2019,183.95
3/19/2019,183.11
3/20/2019,184.97
3/21/2019,186.37
3/22/2019,186.81
3/25/2019,185.72
3/26/2019,187.48
3/27/2019,187.51
3/28/2019,189.39
3/29/2019,189.9
4/1/2019,188.39
4/2/2019,188.35
4/3/2019,188.35
4/4/2019,189.87
4/5/2019,190.71
4/8/2019,189.85
4/9/2019,190.08
4/10/2019,189.22
4/11/2019,188.88
4/12/2019,191.6
4/15/2019,191.85
4/16/2019,191.7
4/17/2019,191.61
4/18/2019,194.91
4/22/2019,193.92
4/23/2019,195.26
4/24/2019,197.63
4/25/2019,197.93
4/26/2019,197.42
4/29/2019,197.12
4/30/2019,197.57
5/1/2019,194.17
5/2/2019,194.61
5/3/2019,197.52
5/6/2019,198.9
5/7/2019,198.04
5/8/2019,198.03
